date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:31:53	282559/282559	---M--	200	added ('OK')	text/javascript	etag:%22b0a9bc3cc165f0cd%22	https://cdn.ampproject.org/v0.js	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/cdn.ampproject.org/v0.js	(from https://geekprank.com/mobile/)
09:31:53	5541/5541	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Jul%202022%2012:26:38%20GMT	https://geekprank.com/cracked-screen/	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/cracked-screen/index.html	(from https://geekprank.com/)
09:31:53	14255/14255	---M--	200	added ('OK')	text/javascript	etag:%2210dda9d3561ecce8%22	https://cdn.ampproject.org/v0/amp-social-share-0.1.js	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/cdn.ampproject.org/v0/amp-social-share-0.1.js	(from https://geekprank.com/mobile/)
09:31:53	7090/7090	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Jul%202022%2012:26:39%20GMT	https://geekprank.com/jurassic-park/	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/jurassic-park/index.html	(from https://geekprank.com/)
09:31:54	111972/111972	---M--	200	added ('OK')	text/javascript	etag:%22dfda97fe2a1b5ffc%22	https://cdn.ampproject.org/v0/amp-analytics-0.1.js	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/cdn.ampproject.org/v0/amp-analytics-0.1.js	(from https://geekprank.com/mobile/)
09:31:54	31402/31402	---M--	200	added ('OK')	text/javascript	etag:%22b2cba6000b3c8a65%22	https://cdn.ampproject.org/v0/amp-sidebar-0.1.js	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/cdn.ampproject.org/v0/amp-sidebar-0.1.js	(from https://geekprank.com/mobile/)
09:31:55	38762/38762	---M--	200	added ('OK')	text/javascript	etag:%22b0cf52626f0dc71f%22	https://cdn.ampproject.org/v0/amp-carousel-0.1.js	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/cdn.ampproject.org/v0/amp-carousel-0.1.js	(from https://geekprank.com/mobile/)
09:31:55	18518/18518	---M--	200	added ('OK')	text/javascript	etag:%22d6d96c004b239dcb%22	https://cdn.ampproject.org/v0/amp-facebook-like-0.1.js	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/cdn.ampproject.org/v0/amp-facebook-like-0.1.js	(from https://geekprank.com/mobile/)
09:31:55	21706/21706	---M--	200	added ('OK')	image/jpeg	etag:%2230a2ece-54ca-5780897003d00%22	https://geekprank.com/images/slider/insect-hunter-game.jpg	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/slider/insect-hunter-game.jpg	(from https://geekprank.com/mobile/)
09:31:55	19887/19887	---M--	200	added ('OK')	image/jpeg	etag:%2230a2ed2-4daf-5688e5decd480%22	https://geekprank.com/images/slider/hacker.jpg	C:/Users/lenovo/Desktop/HTTTRACK/GeekPrank/geekprank.com/images/slider/hacker.jpg	(from https://geekprank.com/mobile/)
